Drug,Pathway,Species,edgeLength,IoOS,OoOS,RoOS,drug
warfarin [cytosol],Recruitment of mitotic centrosome proteins and complexes,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],TICAM1-dependent activation of IRF3/IRF7,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],TAK1 activates NFkB by phosphorylation and activation of IKKs complex,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],activated TAK1 mediates p38 MAPK activation,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],MAP kinase activation,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],TRIF-mediated programmed cell death,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],TRAF6-mediated induction of TAK1 complex within TLR4 complex,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],IKK complex recruitment mediated by RIP1,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Apoptosis induced DNA fragmentation,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Apoptotic cleavage of cellular proteins,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Regulation of PAK-2p34 activity by PS-GAP/RHG10,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],"Activation, myristolyation of BID and translocation to mitochondria",Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Activation of BMF and translocation to mitochondria,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Activation of BAD and translocation to mitochondria ,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Activation of BIM and translocation to mitochondria ,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Activation of NOXA and translocation to mitochondria,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Activation of PUMA and translocation to mitochondria,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Activation of BH3-only proteins,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Activation of caspases through apoptosome-mediated cleavage,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Regulation of the apoptosome activity,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Formation of apoptosome,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Cytochrome c-mediated apoptotic response,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],SMAC (DIABLO) binds to IAPs ,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes ,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],"SMAC, XIAP-regulated apoptotic response",Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],AKT phosphorylates targets in the cytosol,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],SHC1 events in ERBB2 signaling,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],PKA activation,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],PKA-mediated phosphorylation of CREB,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],CaMK IV-mediated phosphorylation of CREB,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Cam-PDE 1 activation,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Calmodulin induced events,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],CaM pathway,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],DAG and IP3 signaling,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Ca2+ pathway,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],WNT5A-dependent internalization of FZD4,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Asymmetric localization of PCP proteins,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],"WNT5A-dependent internalization of FZD2, FZD5 and ROR2",Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],PCP/CE pathway,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Beta-catenin phosphorylation cascade,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Negative regulation of TCF-dependent signaling by DVL-interacting proteins,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],TCF dependent signaling in response to WNT,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Beta-catenin independent WNT signaling,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],RHO GTPases Activate Formins,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Cellular response to hypoxia,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Regulation of actin dynamics for phagocytic cup formation,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Role of phospholipids in phagocytosis,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],FCGR activation,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Spry regulation of FGF signaling,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Negative regulation of FGFR1 signaling,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Negative regulation of FGFR2 signaling,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Activation of NF-kappaB in B cells,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Activation of RAS in B cells,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Calcineurin activates NFAT,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Downstream signaling events of B Cell Receptor (BCR),Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Signaling by the B Cell Receptor (BCR),Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Negative regulation of FGFR3 signaling,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],SOS-mediated signalling,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],IRS-mediated signalling,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Signal attenuation,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Insulin receptor signalling cascade,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Signaling by ERBB2,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Activated NOTCH1 Transmits Signal to the Nucleus,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Pre-NOTCH Transcription and Translation,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Signaling by NOTCH1,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Metabolism of nitric oxide: eNOS activation and regulation,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],FCERI mediated Ca+2 mobilization,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],FCERI mediated NF-kB activation,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],FCERI mediated MAPK activation,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Role of LAT2/NTAL/LAB on calcium mobilization,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Interleukin-38 signaling,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Interleukin-37 signaling,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Interleukin-1 processing,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Protein-protein interactions at synapses,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Adenylate cyclase inhibitory pathway,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Activation of GABAB receptors,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],GABA B receptor activation,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],GABA receptor activation,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Highly sodium permeable acetylcholine nicotinic receptors,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Highly calcium permeable nicotinic acetylcholine receptors,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Highly calcium permeable postsynaptic nicotinic acetylcholine receptors,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Ras activation upon Ca2+ influx through NMDA receptor,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],RSK activation,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],CREB1 phosphorylation through the activation of Adenylate Cyclase,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Activation of AMPK downstream of NMDARs,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],CREB1 phosphorylation through the activation of CaMKII/CaMKK/CaMKIV cascasde,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Post NMDA receptor activation events,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Activation of NMDA receptors and postsynaptic events,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],RIP-mediated NFkB activation via ZBP1,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],IRF3 mediated activation of type 1 IFN,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],TRAF6 mediated NF-kB activation,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],VEGFR2 mediated cell proliferation,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],VEGFR2 mediated vascular permeability,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],IRS-related events triggered by IGF1R,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],SHC-related events triggered by IGF1R,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],IGF1R signaling cascade,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R),Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Presynaptic function of Kainate receptors,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Activation of Ca-permeable Kainate Receptor,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Activation of Na-permeable kainate receptors,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Ionotropic activity of kainate receptors,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Activation of kainate receptors upon glutamate binding,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Astrocytic Glutamate-Glutamine Uptake And Metabolism,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],GABA synthesis,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Reuptake of GABA,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Degradation of GABA,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],"GABA synthesis, release, reuptake and degradation",Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],IRAK1 recruits IKK complex,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],IRAK2 mediated activation of TAK1 complex,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],TLR3-mediated TICAM1-dependent programmed cell death,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],"TICAM1,TRAF6-dependent induction of TAK1 complex",Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],TRAF6 mediated IRF7 activation in TLR7/8 or 9 signaling,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],IRAK1 recruits IKK complex upon TLR7/8 or 9 stimulation,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],MyD88 dependent cascade initiated on endosome,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Toll Like Receptor 7/8 (TLR7/8) Cascade,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Toll Like Receptor 9 (TLR9) Cascade,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],The IPAF inflammasome,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],The NLRP3 inflammasome,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],The NLRP1 inflammasome,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],The AIM2 inflammasome,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Inflammasomes,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Alpha-protein kinase 1 signaling pathway,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Dectin-1 mediated noncanonical NF-kB signaling,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],CLEC7A (Dectin-1) induces NFAT activation,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],CLEC7A/inflammasome pathway,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],C-type lectin receptors (CLRs),Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Antigen processing: Ubiquitination & Proteasome degradation,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],mRNA decay by 5' to 3' exoribonuclease,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],mRNA decay by 3' to 5' exoribonuclease,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Deadenylation of mRNA,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Deadenylation-dependent mRNA decay,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Detoxification of Reactive Oxygen Species,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Agmatine biosynthesis,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Interconversion of polyamines,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Regulation of ornithine decarboxylase (ODC),Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Metabolism of polyamines,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Histidine catabolism,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Tryptophan catabolism,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Serine biosynthesis,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Methionine salvage pathway,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Catecholamine biosynthesis,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Serotonin and melatonin biosynthesis,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Creatine metabolism,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Carnitine synthesis,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Glycogen breakdown (glycogenolysis),Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Fructose metabolism,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Galactose catabolism,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],"Regulation of glycolysis by fructose 2,6-bisphosphate metabolism",Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Glycolysis,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],5-Phosphoribose 1-diphosphate biosynthesis,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Pentose phosphate pathway,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Interconversion of nucleotide di- and triphosphates,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Pyrimidine biosynthesis,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Purine ribonucleoside monophosphate biosynthesis,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],RHO GTPases activate IQGAPs,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],RHO GTPases Activate NADPH Oxidases,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],RHO GTPases activate KTN1,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Negative regulation of FGFR4 signaling,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],betaKlotho-mediated ligand binding,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
