MeSH,PMID,abstract,title,chemical
[],31443720,"glutathione s transferase a3 (gsta3) is known as an antioxidative protease, however, the crucial role of gsta3 in liver fibrosis remains unclear. as a recently we developed water soluble pyridone agent with antifibrotic features, fluorofenidone (akf pd) can attenuate liver fibrosis, present studies were designed to explore the role of gsta3 in liver fibrosis and its modulation by akf pd in vivo and in vitro.
rats liver fibrosis models were induced by dimethylnitrosamine (dmn) or carbon tetrachloride (ccl4). the two activated hepatic stellate cells (hscs) lines, rat cfsc 2g and human lx2 were treated with akf pd respectively. the lipid peroxidation byproduct malondialdehyde (mda) in rat serum was determined by elisa. the accumulation of reactive oxygen species (ros) was measured by dichlorodihydrofluorescein fluorescence analysis. the expression of α smooth muscle actin (α sma), fibronectin (fn), and phosphorylation of extracellular signal regulated kinase1/2 (erk1/2), p38 mitogen activated protein kinase (p38 mapk), c jun n terminal kinase (jnk) and glycogen synthase kinase 3 beta (gsk 3β) were detected by western blotting (wb).
gsta3 was substantially reduced in the experimental fibrotic livers and transdifferentiated hscs. akf pd alleviated rat hepatic fibrosis and potently inhibited hscs activation correlated with restoring gsta3. moreover, gsta3 overexpression prevented hscs activation and fibrogenesis, while gsta3 knockdown enhanced hscs activation and fibrogenesis resulted from increasing accumulation of ros and subsequent amplified mapk signaling and gsk 3β phosphorylation.
we demonstrated firstly that gsta3 inhibited hscs activation and liver fibrosis through suppression of the mapk and gsk 3β signaling pathways. gsta3 may represent a promising target for potential therapeutic intervention in liver fibrotic diseases.",A novel role of glutathione S-transferase A3 in inhibiting hepatic stellate cell activation and rat hepatic fibrosis.,Glutathione S-transferase A3
"['Animals', 'Ethanol', 'administration & dosage', 'toxicity', 'Glutathione Transferase', 'chemistry', 'deficiency', 'genetics', 'Inflammation', 'chemically induced', 'genetics', 'metabolism', 'Liver', 'drug effects', 'metabolism', 'pathology', 'Liver Diseases, Alcoholic', 'genetics', 'metabolism', 'pathology', 'Male', 'Mice', 'Mice, 129 Strain', 'Mice, Knockout', 'Protein Carbonylation', 'drug effects', 'physiology', 'Protein Structure, Secondary']",29708596,"glutathione s transferase a4 4 (gsta4) is a key enzyme for removal of toxic lipid peroxidation products such as 4 hydroxynonenal (4 hne). in this study, we examined the potential role of gsta4 on protein carbonylation and progression of alcoholic liver disease by examining the development of liver injury in male wild type (wt) sv/j mice and sv/j mice lacking functional gsta4 (gsta4
adult male wt and gsta4
chronic etoh intake significantly increased hepatic 4 hne adduction and protein carbonylation, including carbonylation of ribosomal proteins. etoh intake also resulted in steatosis and increased serum alanine aminotransferase. hepatic infiltration with b cells, t cells, and neutrophils and mrna expression of pro inflammatory cytokines tumor necrosis factor (tnf)α and interferon (ifn)γ was modest in wt mice. however, an etoh binge increased hepatic necrosis, hepatic cell proliferation, and expression of tnfα mrna (p < 0.05). etoh treatment of gsta4
these data suggest long term adaptation to etoh in wt mice does not occur in gsta4",Knockout of the Gsta4 Gene in Male Mice Leads to an Altered Pattern of Hepatic Protein Carbonylation and Enhanced Inflammation Following Chronic Consumption of an Ethanol Diet.,Glutathione S-transferase A4
[],30537571,"cadmium is a highly neurotoxic heavy metal impairing neurogenesis and induces neurodegenerative disorders. toxic concentrations of cadmium induce astrocytic apoptosis by depleting intracellular glutathione levels, elevating intracellular calcium levels, altering mitochondria membrane potentials, and activating jnk and pi3k/akt signaling pathways. cadmium suppresses cell proliferation in kidney epithelial cells, lung fibroblasts, and primary myelocytes; however, cadmium's effects on proteins regulating oxidative stress, apoptosis, and cell proliferation in astrocytes are less known. the present study hypothesized that cadmium alters levels of antioxidant enzymes, apoptotic regulator proteins, and cell cycle inhibitor proteins, resulting in apoptosis and cell cycle arrest. concentrations ≥20 μm cadmium induced apoptosis and led to intracellular changes including dna fragmentation, reduced mrna expression of antioxidant enzymes (i.e., catalase and glutathione s transferase a4), downregulation of b cell lymphoma 2 (bcl 2), and upregulation of bcl 2 associated x protein (bax). moreover, cadmium suppressed astrocytic proliferation by inducing s and g2/m phase cell cycle arrest and promoting p53, p21, and p27 expression. in conclusion, this study provides mechanistic insight into cadmium induced cytotoxicity of astrocytes and highlights potential targets for prevention of cadmium induced apoptosis and cell cycle arrest.",Cadmium induces apoptotic program imbalance and cell cycle inhibitor expression in cultured human astrocytes.,Glutathione S-transferase A4
"['Animals', 'Blotting, Western', 'Cytochrome P-450 CYP2E1', 'metabolism', 'Dopamine', 'metabolism', 'Lipid Peroxidation', 'drug effects', 'Male', 'Maneb', 'toxicity', 'Melatonin', 'pharmacology', 'Mice', 'Paraquat', 'toxicity', 'Parkinson Disease', 'metabolism', 'therapy', 'Polymerase Chain Reaction', 'Silymarin', 'pharmacology', 'Tyrosine 3-Monooxygenase', 'metabolism', 'Vesicular Monoamine Transport Proteins', 'metabolism']",20964710,"oxidative stress is reported as one of the most widely accepted mechanisms of maneb (mb)  and paraquat (pq) induced nigrostriatal dopaminergic neurodegeneration leading to the parkinson's disease (pd) phenotype. the study investigated the effects of silymarin, an antioxidant of plant origin, and melatonin, an indoleamine produced in all species, in mb  and pq induced mouse model of pd. the mice were treated intraperitoneally daily with silymarin (40mg/kg) or melatonin (30mg/kg) along with respective controls for 9wk. subsets of these animals were also treated with mb (30mg/kg) and pq (10mg/kg), twice a week, for 9wk, 2hr after silymarin/melatonin treatment. locomotor activities along with striatal dopamine content, tyrosine hydroxylase (th) immunoreactivity, number of degenerating neurons, lipid peroxidation and nitrite content were estimated. additionally, mrna expression of vesicular monoamine transporter, cytochrome p 450 2e1 (cyp2e1), and glutathione s transferase a4 4 (gsta4 4), catalytic activities of cyp2e1 and gsta4 4 and protein expressions of unphosphorylated and phosphorylated p53 (p53 and p p53), bax and caspase 9 were measured in control and mb  and pq treated mice with either silymarin or melatonin treatments. silymarin/melatonin significantly offset mb  and pq mediated reductions in locomotor activities, dopamine content, th immunoreactivity, vmat 2 mrna expression and the expression of p53 protein. silymarin/melatonin attenuated the increases in lipid peroxidation, number of degenerating neurons, nitrite content, mrna expressions of cytochrome p 450 2e1 (cyp2e1) and gsta4 4, catalytic activities of cyp2e1 and gst and p p53, bax and caspase 9 protein expressions. the results demonstrate that silymarin and melatonin offer nigrostriatal dopaminergic neuroprotection against mb  and pq induced pd by the modulation of oxidative stress and apoptotic machinery.",Melatonin or silymarin reduces maneb- and paraquat-induced Parkinson's disease phenotype in the mouse.,Glutathione S-transferase A4
"['Animals', 'Cytochrome P-450 CYP2E1', 'genetics', 'metabolism', 'Glutathione Transferase', 'biosynthesis', 'metabolism', 'Heme Oxygenase-1', 'biosynthesis', 'metabolism', 'Lipid Peroxidation', 'drug effects', 'Maneb', 'toxicity', 'NF-E2-Related Factor 2', 'metabolism', 'Neutrophils', 'drug effects', 'pathology', 'Nitric Oxide Synthase Type II', 'biosynthesis', 'Oxidative Stress', 'drug effects', 'genetics', 'Paraquat', 'toxicity', 'Rats', 'Reactive Oxygen Species', 'metabolism']",24771067,"cytochrome p4502e1 (cyp2e1), glutathione s transferase a4 4 (gsta4 4), and inducible nitric oxide synthase (inos) are implicated in maneb  and paraquat induced toxicity leading to various pathological conditions. the study aimed to investigate the role of cyp2e1 in maneb  and paraquat induced oxidative stress in rat polymorphonuclear leukocytes (pmns) and its crosstalk with inos mediated nitrosative stress and gsta4 4 linked protective effect, if any and their consequent links with the nuclear factor erythoid 2 related factor 2 (nrf2) activation and heme oxygenase 1 (ho 1) expression. rats were treated with/without maneb and/or paraquat for 1, 2, and 3 weeks along with vehicle controls. subsets of rats were also treated with diallyl sulfide (das) or aminoguanidine (ag) along with the respective controls. maneb and paraquat augmented the reactive oxygen species (ros), lipid peroxidation (lpo) and 4 hydroxy nonenal (4 hne) contents, and superoxide dismutase (sod) activity in the pmns. however, maneb and paraquat attenuated the reduced glutathione (gsh) level and the expression/activity of total gst and gst pi. maneb and paraquat increased the expression/activity of cyp2e1, gsta4 4, inos, nrf2 and ho 1, and nitrite content. cyp2e1 inhibitor, das noticeably alleviated maneb  and paraquat induced ros, lpo, 4 hne, sod, nrf2 and ho 1, gst, gsh, and gst pi while inos, nitrite content and gsta4 4 levels were unchanged. conversely, ag, an inos inhibitor, attenuated maneb  and paraquat directed changes in nitrite, lpo, inos but it did not alter ros, gsh, sod, gst, gst pi, nrf2, ho 1, cyp2e1, and gsta4 4. the results demonstrate that cyp2e1 induces inos independent free radical generation and subsequently modulates the nrf2 dependent ho 1 and 4 hne mediated gst expression in maneb  and paraquat treated pmns.",CYP2E1-mediated oxidative stress regulates HO-1 and GST expression in maneb- and paraquat-treated rat polymorphonuclear leukocytes.,Glutathione S-transferase A4
"['Actins', 'genetics', 'metabolism', 'Alanine Transaminase', 'blood', 'Aldehydes', 'immunology', 'metabolism', 'Animals', 'Antibodies', 'blood', 'Chemokine CXCL2', 'genetics', 'metabolism', 'Cytokines', 'genetics', 'metabolism', 'Fibrosis', 'metabolism', 'Gene Deletion', 'Glutathione Transferase', 'genetics', 'metabolism', 'Lipid Peroxidation', 'Lipopolysaccharide Receptors', 'genetics', 'metabolism', 'Liver', 'metabolism', 'pathology', 'Liver Diseases, Alcoholic', 'immunology', 'metabolism', 'Male', 'Matrix Metalloproteinases', 'genetics', 'metabolism', 'Mice', 'PPAR alpha', 'genetics', 'metabolism', 'RNA, Messenger', 'genetics', 'metabolism', 'Receptor, Platelet-Derived Growth Factor beta', 'genetics', 'metabolism', 'Transforming Growth Factor beta', 'genetics', 'metabolism', 'Tumor Necrosis Factor-alpha', 'genetics', 'metabolism']",25501545,"to test the significance of lipid peroxidation in the development of alcoholic liver injury, an ethanol (etoh) liquid diet was fed to male 129/svj mice (wild type, wt) and glutathione s transferase a4 4 null (gsta4 / ) mice for 40 days. gsta4 /  mice were crossed with peroxisome proliferator activated receptor α null mice (ppar α / ), and the effects of etoh in the resulting double knockout (dko) mice were compared with the other strains. etoh increased lipid peroxidation in all except wt mice (p < 0.05). increased steatosis and mrna expression of the inflammatory markers cxcl2, tumor necrosis factor α (tnf α), and α smooth muscle actin (α sma) were observed in etoh gsta4 /  compared with etoh wt mice (p < 0.05). etoh ppar α /  mice had increased steatosis, serum alanine aminotransferase (alt), and hepatic cd3+ t cell populations and elevated mrna encoding cd14, cxcl2, tnf α, il 6, cd138, transforming growth factor β, platelet derived growth factor receptor β (pdgfr β), matrix metalloproteinase (mmp) 9, mmp 13, α sma, and collagen type 1 compared with etoh wt mice. etoh fed dko mice displayed elevation of periportal hepatic 4 hydroxynonenal adducts and serum antibodies against malondialdehyde adducts compared with etoh feeding of gsta4 / , ppar α / , and wt mice (p < 0.05). alt was higher in etoh dko mice compared with all other groups (p < 0.001). etoh fed dko mice displayed elevated mrnas for tnf α and cd14, histological evidence of fibrosis, and increased pdgfr, mmp 9, and mmp 13 mrnas compared with the etoh gsta4 /  or etoh ppar α /  genotype (p < 0.05). these findings demonstrate the central role lipid peroxidation plays in mediating progression of alcohol induced necroinflammatory liver injury, stellate cell activation, matrix remodeling, and fibrosis.",Increased 4-hydroxynonenal protein adducts in male GSTA4-4/PPAR-α double knockout mice enhance injury during early stages of alcoholic liver disease.,Glutathione S-transferase A4
[],30975078,"standard evolutionary theories of aging postulate that reduced extrinsic mortality leads to evolution of longevity. clownfishes of the genus amphiprion live in a symbiotic relationship with sea anemones that provide protection from predators. we performed a survey and identified at least two species with a lifespan of over 20 years. given their small size and ease of captive reproduction, clownfish lend themselves as experimental models of exceptional longevity. to identify genetic correlates of exceptional longevity, we sequenced the transcriptomes of amphiprion percula and a. clarkii and performed a scan for positively selected genes (psgs).
the psgs that we identified in the last common clownfish ancestor were compared with psgs detected in long lived mole rats and short lived killifishes revealing convergent evolution in processes such as mitochondrial biogenesis. among individual genes, the mitochondrial transcription termination factor 1 (mterf1), was positively selected in all three clades, whereas the glutathione s transferase kappa 1 (gstk1) was under positive selection in two independent clades. for the latter, homology modelling strongly suggested that positive selection targeted enzymatically important residues.
these results indicate that specific pathways were recruited in independent lineages evolving an exceptionally extended or shortened lifespan and point to mito nuclear balance as a key factor.",Analysis of the coding sequences of clownfish reveals molecular convergence in the evolution of lifespan.,Glutathione S-transferase Kappa 1
[],31509586,"this research investigated the protective effect of lactobacillus plantarum against alcohol induced liver injury and the regulatory mechanism of keap nrf2 are signal pathway in zebrafish. firstly, a zebrafish alcoholic liver injury model was established using1.0mm of ethanol concentration, then two forms of lactobacillus plantarum treatment were designed to perform repair, including a lactobacillus plantarum thallus suspension (lps) and a lactobacillus plantarum thallus breaking solution (lpbs). after 24h of alcohol injury, lactobacillus plantarum concentrations of 0, 1.0×105, 1.0×106, 1.0×107 and 1.5×107 cfu/ml were added to protect zebrafish larvae. then with the treatment of lactobacillus plantarum after 48h, activities of alanine transaminase (alt), aspartate transaminase (ast), superoxide dismutase (sod) and malondialdehyde (mda) in zebrafish tissue homogenate were respectively determined. keap nrf2 are signal pathway related gene expression conditions were also analyzed, including nuclear factor (erythroid derived 2) like 2(nrf2), kelch like ech associated protein 1(keap1), catalase(cat), hemooxygenase1(ho1) and glutathione s transferase kappa 1(gstk1). results showed that: in comparison with the control group, the lpbs with dosage of 1.0×107 cfu/ml remarkably improved the activities of sod, cat, ho1and gstk1 in zebrafish larvae liver (p<0.05), resulting in significant increase of the protein expression level of nrf2 (225.78%) and suppression of keap1 gene expression (73.67%)(p<0.01). as confirmed by the results, lactobacillus plantarum activated the keap nrf2 are signal pathway from the level of transcription, the up regulation of the expression quantity of nrf2 protected the organism from oxidative stress and maximally reduced liver injury.",Protective effect of lactobacillus plantarum on alcoholic liver injury and regulating of keap-Nrf2-ARE signaling pathway in zebrafish larvae.,Glutathione S-transferase Kappa 1
"['Aldehydes', 'metabolism', 'Animals', 'Antioxidants', 'pharmacology', 'Collagen', 'metabolism', 'Deoxyguanosine', 'analogs & derivatives', 'metabolism', 'Female', 'Gene Expression', 'drug effects', 'Glutathione', 'metabolism', 'Heart Ventricles', 'drug effects', 'physiopathology', 'Mice', 'Mice, Knockout', 'Myocardium', 'metabolism', 'Organ Size', 'drug effects', 'Organophosphorus Compounds', 'pharmacology', 'Oxidative Stress', 'Reactive Oxygen Species', 'metabolism', 'Receptors, Estrogen', 'genetics', 'metabolism', 'Receptors, G-Protein-Coupled', 'genetics', 'metabolism', 'Ubiquinone', 'analogs & derivatives', 'pharmacology', 'Ventricular Dysfunction, Left', 'metabolism', 'Ventricular Remodeling']",29758174,"oxidative stress has been implicated in the unfavorable changes in cardiac function and remodeling that occur after ovarian estrogen loss. using ovariectomized rat models, we previously reported that the cardioprotective actions of estrogen are mediated by the g protein coupled estrogen receptor (gper). here, in 9 month old, female cardiomyocyte specific gper knockout (ko) mice vs sex  and age matched wild type (wt) mice, we found increased cardiac oxidative stress and oxidant damage, measured as a decreased ratio of reduced glutathione to oxidized glutathione, increased 4 hydroxynonenal and 8 hydroxy 2' deoxyguanosine (8 oxo dg) staining, and increased expression of oxidative stress related genes. gper ko mice also displayed increased heart weight, cardiac collagen deposition, and doppler derived filling pressure, and decreased percent fractional shortening and early mitral annular velocity compared with wt controls. treatment of gper ko mice for 8 weeks with phosphonium [10 (4,5 dimethoxy 2 methyl 3,6 dioxo 1,4 cyclohexadien 1 yl)decyl] triphenyl ,mesylate (mitoq), a mitochondria targeted antioxidant, significantly attenuated these measures of cardiac dysfunction, and mitoq decreased 8 oxo dg intensity compared with treatment with an inactive comparator compound, (1 decyl)triphenylphosphonium bromide (p <0.05). a real time polymerase chain reaction array analysis of 84 oxidative stress and antioxidant defense genes revealed that mitoq attenuates the increase in nadph oxidase 4 and prostaglandin endoperoxide synthase 2 and the decrease in uncoupling protein 3 and glutathione s transferase kappa 1 seen in gper ko mice. our findings suggest that the cardioprotective effects of gper include an antioxidant role and that targeted strategies to limit oxidative stress after early noncancerous surgical extirpation of ovaries or menopause may help limit alterations in cardiac structure and function related to estrogen loss.",G protein-coupled estrogen receptor (GPER) deficiency induces cardiac remodeling through oxidative stress.,Glutathione S-transferase Kappa 1
[],31502701,"mitochondrial dysfunction is involved in the pathogenesis of type 2 diabetes. glutathione s transferase kappa 1 (gstk1) is critical to maintain mitochondrial function and homeostasis. we aimed to investigate whether a potential link exists between mitochondrial dna (mtdna) copy numbers and inflammation, non esterified fatty acids (nefa) and gstk1 expression in type 2 diabetes.
we assessed mtdna copy numbers in plasma and gstk1 expression in white blood cells in 123 people with type 2 diabetes and in 121 healthy controls using a quantitative polymerase chain reaction (qpcr). an automatic chemistry or immunoassay analyser was used to determine serum glucose, lipids and inflammatory markers. multiple linear regression and multivariable logistic regression models were used to evaluate associations and risks.
compared with healthy controls, individuals with diabetes showed higher mtdna copy numbers (t =  3.938, p < 0.001) and lower gstk1 expression (z =  2.985, p = 0.002). mtdna copy number was associated with type 2 diabetes risk [odds ratio (or) = 1.80, 95% confidence intervals (ci) 1.25 2.58, p = 0.001] after controlling for confounding factors. in individuals with diabetes, mtdna copy number was negatively associated with gstk1 expression (β =  0.235, p = 0.036) and positively associated with serum high sensitive c reactive protein (hscrp) (β = 0.839, p < 0.001), tumour necrosis factor alpha (tnf α) (β = 0.549, p < 0.001), interleukin 6 (il 6) (β = 0.589, p = 0.006) and nefa (β = 0.001, p = 0.020). in the diabetic group, individuals with an abnormal increase in nefa, hscrp, tnf α and il 6 showed significantly elevated mtdna copy numbers (all p < 0.05).
mtdna copy numbers in plasma might have an important role in the progression of diabetic chronic inflammation via inhibition of gstk1 and could be a potential biomarker for type 2 diabetes.",Plasma mtDNA copy numbers are associated with GSTK1 expression and inflammation in type 2 diabetes.,Glutathione S-transferase Kappa 1
[],27378925,"hypertrophic cardiomyopathy (hcm) is characterized by left ventricular hypertrophy and is associated with a number of potential outcomes, including impaired diastolic function, heart failure, and sudden cardiac death. various etiologies have been described for hcm, including pressure overload and mutations in sarcomeric and non sarcomeric genes. however, the molecular pathogenesis of hcm remains incompletely understood. in this study, we performed comparative transcriptome analysis to identify dysregulated genes common to five mouse hcm models of differing etiology: (i) mutation of myosin heavy chain 6, (ii) mutation of tropomyosin 1, (iii) expressing human phospholamban on a null background, (iv) knockout of frataxin, and (v) transverse aortic constriction. gene by gene comparison identified five genes dysregulated in all five hcm models. glutathione s transferase kappa 1 (gstk1) was significantly downregulated in the five models, whereas myosin heavy chain 7 (myh7), connective tissue growth factor (ctgf), periostin (postn), and reticulon 4 (rtn4) were significantly upregulated. gene ontology comparison revealed that 51 cellular processes were significantly enriched in genes dysregulated in each transcriptome dataset. among them, six processes (oxidative stress, aging, contraction, developmental process, cell differentiation, and cell proliferation) were related to four of the five genes dysregulated in all hcm models. gstk1 was related to oxidative stress only, whereas the other four genes were related to all six cell processes except myh7 for oxidative stress. gene gene functional interaction network analysis suggested correlative expression of gstk1, myh7, and actin alpha 2 (acta2). to investigate the implications of gstk1 downregulation for cardiac function, we knocked out gstk1 in zebrafish using the clustered regularly interspaced short palindromic repeats/cas9 system. we found that expression of the zebrafish homologs of myh7, acta2, and actin alpha 1 were increased in the gstk1 knockout zebrafish. in vivo imaging of zebrafish expressing a fluorescent protein in cardiomyocytes showed that gstk1 deletion significantly decreased the end diastolic volume and, to a lesser extent, end systolic volume. these results suggest that downregulation of gstk1 may be a common mechanism underlying hcm of various etiologies, possibly through increasing oxidative stress and the expression of sarcomere genes. ",Downregulation of GSTK1 Is a Common Mechanism Underlying Hypertrophic Cardiomyopathy.,Glutathione S-transferase Kappa 1
"['Alleles', 'Asian Continental Ancestry Group', 'genetics', 'Chromosomes, Human', 'genetics', 'Far East', 'Female', 'Gene Deletion', 'Gene Expression Regulation, Enzymologic', 'genetics', 'Gene Frequency', 'Genetic Loci', 'Genetic Predisposition to Disease', 'Glutathione Transferase', 'genetics', 'metabolism', 'Haplotypes', 'Humans', 'Male']",30061374,the deletion of the metabolizing glutathione s transferase mu 1 (,Complex Haplotypes of ,Glutathione S-transferase Mu 1
"['Adult', 'Aged', 'Aged, 80 and over', 'Aryl Hydrocarbon Hydroxylases', 'Case-Control Studies', 'Colorectal Neoplasms', 'enzymology', 'genetics', 'Cytochrome P-450 CYP1B1', 'Cytochrome P-450 Enzyme System', 'genetics', 'Czech Republic', 'Epoxide Hydrolases', 'genetics', 'Genetic Predisposition to Disease', 'Genotype', 'Glutathione S-Transferase pi', 'genetics', 'Glutathione Transferase', 'genetics', 'Humans', 'Middle Aged', 'NAD(P)H Dehydrogenase (Quinone)', 'genetics', 'Polymorphism, Single Nucleotide', 'Young Adult']",20878130,"associations of functional single nucleotide polymorphisms in cytochrome p450 1b1, epoxide hydrolase 1, nad(p)h:quinone oxidoreductase 1, glutathione s transferase pi 1 and deletions of glutathione s transferases mu 1 and θ 1 with colorectal cancer risk were investigated in a hospital based case control study on 495 matched pairs of czech caucasians. polymorphisms were assessed by polymerase chain reaction restriction fragment length polymorphism based methods, allele specific multiplex and allelic discrimination by real time polymerase chain reaction. carriers of variant ser allele in codon 453 of cytochrome p450 1b1 (rs1800440) were at a significantly lower risk of colorectal cancer compared to carriers of the wild type allele (adjusted odds ratio, aor=0.68, ci=0.51 0.89, p=0.006). the combination of polymorphisms in codons 453 and 432 (rs1056836) of cytochrome p450 1b1 further increased the protective effect (aor=0.53, ci=0.34 0.83, p=0.005). the glutathione s transferase mu 1 deletion was associated with a moderately elevated colorectal cancer risk (aor=1.30, ci=1.01 1.68, p=0.044). combination of glutathione s transferase mu 1 and θ 1 deletion was associated with a significantly higher colorectal cancer risk compared to the presence of both full length genes (aor=1.58, ci=1.01 2.47, p=0.044). genetic polymorphisms in glutathione s transferase pi 1, nad(p)h:quinone oxidoreductase 1, epoxide hydrolase 1 and deduced epoxid hydrolase 1 activity did not modify the risk of colorectal cancer. these results provide further evidence that interaction between metabolic gene variants contributes to colorectal carcinogenesis.","Association between exposure-relevant polymorphisms in CYP1B1, EPHX1, NQO1, GSTM1, GSTP1 and GSTT1 and risk of colorectal cancer in a Czech population.",Glutathione S-transferase Mu 1
"['Aftercare', 'Diagnosis, Differential', 'Glucosephosphate Dehydrogenase Deficiency', 'genetics', 'Glutathione Transferase', 'deficiency', 'genetics', 'Humans', 'Hyperbilirubinemia, Neonatal', 'genetics', 'therapy', 'Infant, Newborn', 'Infant, Premature', 'Male', 'Mutation', 'genetics', 'Phototherapy']",28069791,"a 33 week gestation boy with mediterranean glucose 6 phosphate dehydrogenase (g6pd) and a glutathione s transferase mu 1 null mutations (gstm1*0/*0) developed prolonged indirect hyperbilirubinemia (pih). he had no laboratory evidence of haemolysis or infection, and no exposure to oxidising agents. he has two full term older brothers who have no history of neonatal hyperbilirubinemia. one brother, who was exclusively breast fed, has only mediterranean g6pd and the other has only gstm1*0/*0. the three boys have no mutation in the uridine diphosphate glucuronosyltransferase 1a1 gene. this suggests that a combination of all or any two of prematurity, g6pd deficiency and gstm1*0/*0 is a possible risk factor for pih. however, this remains to be confirmed.",Prolonged indirect hyperbilirubinemia in a moderately preterm boy with Mediterranean glucose-6-phosphate dehydrogenase and glutathione S-transferase Mu 1 null mutations.,Glutathione S-transferase Mu 1
"['Asian Continental Ancestry Group', 'genetics', 'China', 'Genetic Predisposition to Disease', 'Glutathione Transferase', 'genetics', 'Humans', 'Mouth Neoplasms', 'genetics', 'Polymorphism, Single Nucleotide', 'Taiwan']",30539845,"several studies have evaluated the correlation between glutathione s transferase mu 1 (gstm1), gst theta 1 (gstt1) polymorphisms and oral cancer in chinese people. however, the results are inconsistent. to assess the effects of gstm1, gstt1 null genotypes on the risk for development of oral cancer in the chinese population, a meta analysis was performed.
studies were identified using pubmed and chinese databases through february 2016. the associations were assessed with pooled odds ratios (ors) and 95% confidence intervals (cis).
this meta analysis included six studies with 1306 oral cancer cases and 1484 controls. in the overall analysis, no significant association between gstm1, gstt1 polymorphisms and oral cancer was found in the chinese population. in the subgroup analyses by geographic areas and source of controls, significant risk was found between gstm1 null genotype and oral cancer in mainland china (or = 2.715, 95% ci = 2.17 3.38), but not in taiwan china.
our meta analysis suggested that gstm1 null genotype might be associated with an increased risk of developing oral cancer in individuals from mainland china.","Glutathione S-transferase mu-1, glutathione S-transferase theta-1 null genotypes, and oral cancer risk: A meta-analysis in the Chinese population.",Glutathione S-transferase Mu 1
"['Adolescent', 'Adult', 'Aged', 'Aged, 80 and over', 'Female', 'Genotype', 'Glutathione S-Transferase pi', 'genetics', 'Glutathione Transferase', 'genetics', 'Hodgkin Disease', 'diagnosis', 'genetics', 'mortality', 'Humans', 'Male', 'Middle Aged', 'Polymorphism, Genetic', 'Prognosis', 'Retrospective Studies', 'Survival Analysis', 'Young Adult']",20977336,"we examined the influence of the glutathione s transferase mu 1 (gstm1), theta 1 (gstt1), and pi 1 (gstp1) polymorphisms, which are involved in the metabolism of alkylating agents and anthracyclines, on the outcome of patients with hodgkin lymphoma (hl) treated with conventional chemotherapy. genomic dna from 125 consecutive cases was analyzed by polymerase chain reaction and enzymatic digestion for polymorphism determination. the gstm1 undeleted genotype was associated with more advanced tumor stage and worse disease free survival. the gstt1 undeleted genotype was associated with higher recurrence rate. in contrast, higher toxicity of chemotherapy was attributed to absence of the gstt1 gene. concerning overall survival, lower tumor stage (p = 0.006) and international prognostic score (p = 0.02), lower peripheral leukocyte count (p = 0.0003), higher serum albumin level (p = 0.08), and gstt1 undeleted genotype (p = 0.04) were predictive of a better outcome of patients. in multivariate analysis comparing staging and gst polymorphism, only tumor stage and gstt1 genotype remained in the model. our results suggest that the gstt1 polymorphism influences the outcome of brazilian patients with hl. however, studies of toxicity, pharmacokinetics, and protein function may clarify whether carriers of the distinct genotypes should receive different doses of chemotherapeutic agents.","Polymorphisms of glutathione S-transferase mu 1, theta 1, and pi 1 genes and prognosis in Hodgkin lymphoma.",Glutathione S-transferase Mu 1
"['Adult', 'Aged', 'Base Sequence', 'Case-Control Studies', 'Chi-Square Distribution', 'Colonic Neoplasms', 'enzymology', 'genetics', 'Colorectal Neoplasms', 'diagnosis', 'enzymology', 'genetics', 'Family Health', 'Female', 'Genotype', 'Glutathione Transferase', 'genetics', 'Humans', 'Male', 'Microsatellite Repeats', 'genetics', 'Middle Aged', 'Molecular Sequence Data', 'Polymerase Chain Reaction', 'Predictive Value of Tests']",7498640,"microsatellite instability is a property of most tumors occurring in the context of hereditary nonpolyposis colon cancer. instability also occurs in 10% 15% of apparently sporadic colorectal cancers, and it has been hypothesized that this instability may indicate a genetic predisposition to colonic cancer. this study evaluated whether there is a clinically useful association between colon cancer instability and a family history of cancer.
colon cancer cases (n = 188) from a population based study were evaluated for microsatellite instability with 10 polymerase chain reaction primer sets. instability results were compared with family history and other clinical and biological characteristics.
microsatellite instability was found in 16.5% of tumors. it was predominantly a feature of right sided tumors (p = 0.003) and was associated with the youngest and oldest ages at diagnosis (p = 0.01). instability was not associated with family history of cancer, sex of the individual, or the glutathione s transferase mu 1 null genotype.
although some very small, and as yet undefined, proportion of colon cancer may be caused by inherited mutations leading to microsatellite instability, tumoral instability by itself is not a marker for familiality and should not be considered as evidence for an inherited syndrome.",Microsatellite instability in human colonic cancer is not a useful clinical indicator of familial colorectal cancer.,Glutathione S-transferase Mu 1
