MeSH,PMID,abstract,title,drug
"['Acute Disease', 'Ambulatory Care', 'Child, Preschool', 'Cholestyramine Resin', 'therapeutic use', 'Clinical Trials as Topic', 'Diarrhea', 'drug therapy', 'Diarrhea, Infantile', 'drug therapy', 'Fluid Therapy', 'Humans', 'Infant', 'Loperamide', 'therapeutic use', 'Piperidines', 'therapeutic use', 'Water-Electrolyte Balance', 'drug effects']",3901661,"infants aged 4 to 36 months with acute diarrhoea (rotavirus 66%) were treated as outpatients with oral fluids and a rapid return to full feedings. in addition, the infants were randomized to receive for 3 days either cholestyramine 2 g twice daily (n = 10), an equivalent placebo 2 g twice daily (n = 15), or loperamide 0.10 mg/kg divided in three doses (n = 16). the duration of watery diarrhoea from the beginning of treatment was 0.9 +/  1.0 days in the cholestyramine group, 2.5 +/  1.3 days in the loperamide group, and 3.3 +/  1.6 days in the placebo group (p less than 0.001 cholestyramine vs. placebo, p less than 0.005 cholestyramine vs. loperamide). the infants receiving cholestyramine also had a better weight gain than those receiving the placebo, and their metabolic acidosis was corrected sooner. there was no hyperchloraemia associated with the cholestyramine treatment. it is concluded that cholestyramine 2 g twice daily for 3 days can be safely used to shorten the course of acute diarrhoea. the use of loperamide in acute infantile diarrhoea does not appear justified.",A comparative trial of cholestyramine and loperamide for acute diarrhoea in infants treated as outpatients.,cholestyramine
"['Bile Acids and Salts', 'therapeutic use', 'Child', 'Cholestyramine Resin', 'therapeutic use', 'Feces', 'analysis', 'Female', 'Humans', 'Liver Diseases', 'drug therapy', 'metabolism', 'Photosensitivity Disorders', 'drug therapy', 'metabolism', 'Porphyrias', 'drug therapy', 'metabolism', 'Porphyrins', 'metabolism', 'Protoporphyrins', 'metabolism']",3335288,"the effect of cholestyramine and bile acid feeding upon fecal, red blood cell, and plasma protoporphyrin levels was evaluated in a patient with erythropoietic protoporphyria and evidence of hepatic damage. after a basal period on a controlled diet, bile acids alone were administered (300 900 mg) daily for 9 days, followed by cholestyramine (12 g) plus bile acids (900 mg) daily for 7 days, and cholestyramine alone (12 g) daily for 6 days. there was no substantial change in either the red blood cell or plasma protoporphyrin concentrations during any treatment period. however, cholestyramine and cholestyramine combined with bile acids caused a threefold increase in fecal protoporphyrin excretion, whereas bile acids alone had no effect in this regard. after 1 yr of cholestyramine therapy, fecal excretion of protoporphyrin remained elevated with concurrent improvement in liver function tests and photosensitivity. this study indicates that cholestyramine but not bile acids can substantially increase protoporphyrin excretion and therefore may be capable of ameliorating the hepatotoxicity that may occur in selected patients with erythropoietic protoporphyria.",Fecal protoporphyrin excretion in erythropoietic protoporphyria: effect of cholestyramine and bile acid feeding.,cholestyramine
"['Adolescent', 'Adult', 'Cholestyramine Resin', 'therapeutic use', 'Female', 'Gallbladder Emptying', 'drug effects', 'Gastric Emptying', 'drug effects', 'Humans', 'Male', 'Middle Aged', 'Obesity', 'drug therapy', 'Time Factors']",8557061,"gallbladder stasis is frequent in obese subjects and may contribute to their increased risk for gallstone formation. the bile salt sequestrant cholestyramine acutely enhances postprandial gallbladder emptying in lean subjects, through disinhibition of a negative feedback between intraluminal bile salts and cck release. in this study the effect of cholestyramine on both gallbladder and gastric antrum dynamics were studied by real time ultrasonography in 12 obese and 15 lean subjects. for the acute study, on different days, subjects ingested a liquid meal (two egg yolks plus water 200 ml, 50 kj) or a meal with 4 g cholestyramine. gallbladder emptying was impaired in obese patients who had significantly larger fasting gallbladder volume (39.4 +/  6.9 vs. 21.6 +/  1.7 ml, p < 0.02), larger residual volume (12.3 +/  1.8 vs. 4.0 +/  0.5 ml, p < 0.0006) and slower emptying time (t/2: 33 +/  2 vs. 21 +/  2 min, p < 0.05) than lean subjects. integrated antral emptying was also less in obese than lean subjects (5521 +/  578 vs. 7908 +/  491 %120 min 1, p < 0.02). cholestyramine enhanced postprandial gallbladder emptying in both obese and lean subjects. gastric emptying was delayed with cholestyramine in lean but not obese subjects. for the chronic study, after 1 month therapy with cholestyramine (4 g every 2 days), the motility tests were repeated in nine obese subjects. gallbladder and gastric responses to a test meal, with or without cholestyramine, were preserved. we conclude that both gallbladder and antral emptying of a liquid test meal are impaired in obese subjects. gallbladder emptying improves after acute administration of a low dose cholestyramine with test meal. this effect is sustained after 1 month treatment with a low dose of cholestyramine and does not interfere with gastric emptying of obese patients. cholestyramine may improve gallbladder hypomotility in obese people.",Effects of cholestyramine on gallbladder and gastric emptying in obese and lean subjects.,cholestyramine
"['Adverse Drug Reaction Reporting Systems', 'Cilostazol', 'Humans', 'Intermittent Claudication', 'drug therapy', 'Pentoxifylline', 'therapeutic use', 'Platelet Aggregation Inhibitors', 'adverse effects', 'therapeutic use', 'Randomized Controlled Trials as Topic', 'Tetrazoles', 'adverse effects', 'therapeutic use', 'Vasodilator Agents', 'adverse effects', 'therapeutic use']",11434897,"cilostazol, a type iii phosphodiesterase inhibitor, was approved in the united states in 1999 for the reduction of the symptoms of intermittent claudication. this article summarizes the safety data from 8 cilostazol phase 3 controlled clinical trials, involving 2,702 patients: 1,374 receiving cilostazol, 973 assigned to placebo, and 355 taking pentoxifylline. the trials ranged from 12 to 24 weeks in duration. there were a total of 475 patient exposure years on cilostazol, 357 patient exposure years on placebo, and 135 patient exposure years on pentoxifylline. headache, diarrhea, and other gastrointestinal complaints were seen more often in cilostazol treated than placebo treated patients; pharyngitis and nausea were more common in pentoxifylline treated than placebo treated patients. headache requiring discontinuation occurred in 1.3% of patients taking cilostazol 50 mg bid and 3.7% of those receiving cilostazol 100 mg bid, compared with 0.3% of placebo treated patients. discontinuations due to diarrhea, palpitations, or myocardial infarction were similar in cilostazol , placebo , and pentoxifylline treated patients. the rate of serious cardiovascular events was similar in all 3 treatment groups. myocardial infarction occurred in 1.0% of cilostazol treated, 0.8% of placebo treated, and 1.1% of pentoxifylline treated patients. the incidence of stroke was 0.5% in both cilostazol  and placebo treated patients and 1.1% in pentoxifylline treated patients. total cardiovascular morbidity and all cause mortality was 6.5% for cilostazol 100 mg bid, 6.3% for cilostazol 50 mg bid, and 7.7% for placebo. there were 16 deaths occurring in 0.6%, 0.5%, and 0.6% of cilostazol , placebo , and pentoxifylline treated patients, respectively. the evaluations showed no trend toward increased cardiovascular morbidity or mortality risk in patients receiving cilostazol. in addition, postmarketing surveillance in the united states, representing 70,430 patient years of cilostazol exposure, has shown minimal accounts of myocardial infarction, stroke, or death. the safety profile of cilostazol in doses of 50 mg bid and 100 mg bid appears to offer an acceptable risk benefit ratio in patients with intermittent claudication.",Analysis of the cilostazol safety database.,cilostazol
"['Aged', 'Cilostazol', 'adverse effects', 'Female', 'Glomerulonephritis, IGA', 'chemically induced', 'complications', 'diagnostic imaging', 'Humans', 'Nephritis, Interstitial', 'chemically induced', 'complications', 'diagnostic imaging', 'Platelet Aggregation Inhibitors', 'adverse effects']",29506491,"cilostazol is an antiplatelet drug that is widely prescribed for the prevention of secondary stroke. adverse reactions to cilostazol include headaches, palpitations, and diarrhea. little is known about the nephrotoxicity of cilostazol, such as acute kidney injury. we report a biopsy proven case of diffuse tubulointerstitial nephritis induced by cilostazol.
a 69 year old woman prescribed cilostazol was hospitalized for acute kidney injury. on admission, her renal function deteriorated, with an increased serum creatinine level. urinalysis showed hematuria, proteinuria, and hyper beta2 microglobulinuria. a renal biopsy revealed diffuse tubulointerstitial nephritis associated with iga nephropathy, and gallium 67 scintigraphy showed uptake in the bilateral kidneys. a drug lymphocyte stimulation test for cilostazol was positive, and the patient was diagnosed with cilostazol induced acute tubulointerstitial nephritis. despite discontinuation of cilostazol, her renal function rapidly worsened and steroid pulse therapy was initiated, followed by oral high dose glucocorticoid therapy. after steroid treatment, her serum creatinine level normalized in parallel with urine beta2 microglobulin.
cilostazol can induce acute tubulointerstitial nephritis.",Cilostazol-induced acute tubulointerstitial nephritis accompanied by IgA nephropathy: a case report.,cilostazol
"['Animals', 'Anticoagulants', 'pharmacology', 'Blood Glucose', 'analysis', 'Cholesterol, HDL', 'blood', 'Cilostazol', 'Diabetes Mellitus, Experimental', 'blood', 'enzymology', 'Heparin', 'pharmacology', 'Lipids', 'blood', 'Lipoprotein Lipase', 'metabolism', 'Myocardium', 'enzymology', 'Phosphodiesterase Inhibitors', 'pharmacology', 'Platelet Aggregation Inhibitors', 'pharmacology', 'Rats', 'Rats, Wistar', 'Tetrazoles', 'pharmacology', 'Triglycerides', 'blood']",10998457,"cilostazol, a selective type iii phosphodiesterase inhibitor, has antiplatelet and vasodilating effects. in this study, the effects of cilostazol on lipid metabolism and lipoprotein lipase (lpl) activity were studied in rats. cilostazol was administered orally at doses of 30 or 100 mg/kg twice a day for 1 2 weeks to rats. cilostazol decreased the serum triglyceride level in normolipidemic rats. the serum triglyceride level was reduced and hdl cholesterol level was increased by cilostazol in streptozotocin (stz) induced diabetic rats. the disappearance of exogenous triglyceride was accelerated by cilostazol in normolipidemic rats. cilostazol increased post heparin plasma lpl activity but had no effect on hepatic triglyceride lipase activity in stz induced diabetic rats. cilostazol also increased lpl activity in the heart in stz induced diabetic rats. these findings suggest that an increase in lpl activity is responsible for the serum triglyceride lowering and hdl cholesterol elevating effects of cilostazol in rats.","Cilostazol, a selective type III phosphodiesterase inhibitor, decreases triglyceride and increases HDL cholesterol levels by increasing lipoprotein lipase activity in rats.",cilostazol
"['Adult', 'Aged', 'Aged, 80 and over', 'Analysis of Variance', 'Angioplasty, Balloon, Coronary', 'Aspirin', 'therapeutic use', 'Cilostazol', 'Coronary Disease', 'epidemiology', 'prevention & control', 'therapy', 'Drug Therapy, Combination', 'Female', 'Humans', 'Japan', 'epidemiology', 'Male', 'Middle Aged', 'Platelet Aggregation Inhibitors', 'therapeutic use', 'Postoperative Complications', 'epidemiology', 'prevention & control', 'Recurrence', 'Retrospective Studies', 'Stents', 'Tetrazoles', 'therapeutic use', 'Ticlopidine', 'therapeutic use']",11376832,"the role of antiplatelet therapy with ticlopidine plus aspirin in the prevention of subacute thrombosis after coronary artery stenting has been established. however, restenosis remains a major limitation in coronary artery stenting.
to compare the effect of cilostazol on restenosis after coronary angioplasty and stenting with that of ticlopidine after coronary artery stenting, 213 patients with 230 lesions who underwent successful coronary interventions were evaluated. optimal results (residual stenosis less than 30%) were obtained by balloon angioplasty in 112 lesions, 64 lesions were treated with aspirin 81 mg/day (balloon aspirin group) and 48 lesions with cilostazol 200 mg/day and aspirin 81 mg/day (balloon cilostazol group). stent implantation was performed in the remaining 118 lesions; 55 lesions were treated with ticlopidine 200 mg/day and aspirin 243 mg/day (stent ticlopidine group) and 63 lesions with cilostazol 200 mg/day and aspirin 81 mg/day (stent cilostazol group). concomitant medications were continued for 4 to 6 months of follow up.
no adverse events including acute occlusion and subacute thrombosis occurred in any groups. although immediate gain and minimal lumen diameter immediately after angioplasty were significantly larger in stent groups than those in balloon groups, net gain at follow up was significantly larger in cilostazol groups (1.54+/ 0.83 mm in balloon cilostazol group and 1.65+/ 0.78 mm in stent cilostazol group) than other groups (1.02+/ 0.81 mm in balloon aspirin group and 1.21+/ 0.70 in stent ticlopidine group) as a result of significantly lower late loss and loss index in cilostazol groups. the restenosis rate was significantly lower in cilostazol groups (12.5% in balloon cilostazol group and 14.3% in stent cilostazol group) than other groups (43.8% in balloon aspirin group and 32.7% in stent ticlopidine group). the rate of recurrent angina was significantly lower in cilostazol groups (4.3% in balloon cilostazol group and 1.9% in stent cilostazol group) than in other groups (17.5% in balloon aspirin group and 14.0% in stent ticlopidine groups).
both optimal balloon angioplasty with cilostazol and coronary artery stenting with cilostazol have a potential to reduce restenosis compared with optimal balloon angioplasty with aspirin or conventional coronary artery stenting with ticlopidine plus aspirin.",Effect of cilostazol on restenosis after coronary angioplasty and stenting in comparison to conventional coronary artery stenting with ticlopidine.,cilostazol
"['Administration, Oral', 'Adult', 'Area Under Curve', 'Asian Continental Ancestry Group', 'genetics', 'Chromatography, High Pressure Liquid', 'methods', 'Cilostazol', 'administration & dosage', 'blood', 'pharmacokinetics', 'Cytochrome P-450 CYP2C19', 'genetics', 'Cytochrome P-450 CYP3A', 'genetics', 'Genotype', 'Humans', 'Male', 'Phosphodiesterase 3 Inhibitors', 'administration & dosage', 'pharmacokinetics', 'Polymorphism, Genetic', 'Tandem Mass Spectrometry', 'Tetrazoles', 'blood', 'Young Adult']",30039199,"cyp3a4, cyp2c19, and cyp3a5 are primarily involved in the metabolism of cilostazol. we investigated the effects of cyp2c19 and cyp3a5 genetic polymorphisms on the pharmacokinetics of cilostazol and its two active metabolites.
thirty three healthy korean volunteers were administered a single 100 mg oral dose of cilostazol. the concentrations of cilostazol and its active metabolites (opc 13015 and opc 13213) in the plasma were determined by hplc ms/ms.
although the pharmacokinetic parameters for cilostazol were similar in different cyp2c19 and cyp3a5 genotypes, cyp2c19pm subjects showed significantly higher auc
these results suggest that cyp2c19 and cyp3a5 genetic polymorphisms affect the plasma exposure of cilostazol total active moiety. cyp2c19 plays a crucial role in the biotransformation of cilostazol.",Effects of CYP2C19 and CYP3A5 genetic polymorphisms on the pharmacokinetics of cilostazol and its active metabolites.,cilostazol
"['Adenosine Diphosphate', 'pharmacology', 'Aged', 'Aryl Hydrocarbon Hydroxylases', 'genetics', 'metabolism', 'Brain Ischemia', 'blood', 'drug therapy', 'Cilostazol', 'Clopidogrel', 'Cytochrome P-450 CYP2C19', 'Dose-Response Relationship, Drug', 'Drug Resistance', 'Drug Synergism', 'Female', 'Humans', 'Male', 'Middle Aged', 'Platelet Activation', 'drug effects', 'Platelet Aggregation Inhibitors', 'administration & dosage', 'therapeutic use', 'Receptors, Purinergic P2Y12', 'drug effects', 'Risk Factors', 'Tetrazoles', 'administration & dosage', 'therapeutic use', 'Ticlopidine', 'administration & dosage', 'analogs & derivatives', 'pharmacology', 'therapeutic use']",23676588,"we previously reported that the antiplatelet action is intensified with combined use of clopidogrel and cilostazol in ischemic stroke patients using the verifynow p2y12 assay. in this study, the relationship between the cilostazol dose and the platelet function achieved with combination therapy was investigated.
the subjects included 231 patients with noncardiogenic ischemic stroke treated at our hospital (18 patients treated with a combination of clopidogrel (75 mg) and cilostazol (100 mg), 52 patients treated with a combination of clopidogrel (75 mg) and cilostazol (200 mg), 126 patients treated with clopidogrel (75 mg) alone and 35 patients treated with cilostazol (200 mg) alone). the platelet function achieved with 20 μm of adenosine diphosphate was measured using the verifynow p2y12 assay. clopidogrel resistance was defined as p2y12 reaction units (pru) >230 and/or % inhibition <20%. results the pru was >230 in 32 patients (25.4%) receiving clopidogrel alone, one patient (5.6%) receiving combination therapy with cilostazol (100 mg) and one patient (1.9%) receiving combination therapy with cilostazol (200 mg). the rate of pru >230 was significantly lower in both of the cilostazol combination groups than in the clopidogrel alone group. the percent inhibition was <20% in 41 patients (32.5%) receiving clopidogrel alone, one patient (5.6%) receiving a combination with cilostazol (100 mg) and one patient (1.9%) receiving a combination with cilostazol (200 mg). the rate of % inhibition <20% was significantly lower in both of the cilostazol combination groups than in the clopidogrel alone group.
clopidogrel resistance was clearly decreased with combination clopidogrel (75 mg) and low dose (100 mg) cilostazol therapy. the use of combination therapy with clopidogrel and low dose cilostazol may be one means of overcoming clopidogrel resistance.",Dual antiplatelet therapy clopidogrel with low-dose cilostazol intensifies platelet inhibition in patients with ischemic stroke.,cilostazol
"['1-Methyl-3-isobutylxanthine', 'pharmacology', '3T3 Cells', 'Adipocytes', 'drug effects', 'physiology', 'Animals', 'CCAAT-Enhancer-Binding Protein-beta', 'genetics', 'Cell Differentiation', 'drug effects', 'Cilostazol', 'Dexamethasone', 'pharmacology', 'Gene Expression Regulation', 'Insulin', 'pharmacology', 'Mice', 'Phosphodiesterase Inhibitors', 'pharmacology', 'Platelet Aggregation Inhibitors', 'pharmacology', 'Stearoyl-CoA Desaturase', 'genetics', 'Tetrazoles', 'pharmacology']",11500170,"cilostazol is an antiplatelet drug, which has beneficial effects in treatment of intermittent claudication and decreases serum triacyiglycerol level in these patients. in this study, we examined adipogenic potency of cilostazol using 3t3 l1 preadipocyte cell line because cilostazol is one of the tissue specific phosphodiesterase (pde) inhibitors. addition of cilostazol into the differentiation medium including insulin and dexamethasone, induced the adipocyte differentiation without isobutyl methylxanthine (ibmx). compared with the cells incubated with vehicle, the cells treated with cilostazol contain much more lipid droplets in the cells 6 days after induction of differentiation. adipocyte specific gene like stearoyl coa desaturase was strongly induced after addition of cilostazol. c/ebpbeta, which is induced by ibmx was also induced by cilostazol. these findings suggest a possibility that adipogenic effect of cilostazol is one of the mechanisms, by which this agent decreases blood triacylglycerol level in the intermittent claudication patients.",Antiplatelet agent cilostazol potentiates adipocyte differentiation of 3T3-L1 cells.,cilostazol
[],31181990,"cilostazol is a selective inhibitor of phosphodiesterase iii (pde iii), which is prescribed for patients with peripheral arterial disease, especially intermittent claudication. the purpose of the study was to investigate the pharmacokinetic (pk) of cilostazol and its metabolites on the immediate (ir) formulation of cilostazol in healthy korean male volunteers by population pk modeling analysis implemented using nonmem software. a 2 × 2 crossover study comparing multiple oral doses of ir and sr formulations of cilostazol were conducted. serial plasma concentrations of cilostazol and its active metabolites were used in this analysis. the pk was best depicted by one compartment model, with absorption kinetics of cilostazol having mixed first  and zero order kinetics with a time delay at the beginning of absorption. the introduction of interoccasion variabilities into zero order (d1), first order (ka), and relative bioavailability (f1) significantly improved the model fit, and total body water (tbw) was identified as a significant covariate positively affecting the clearance of cilostazol. the model validation suggested that the model constructed in this study predicted the plasma concentration of cilostazol and its two active metabolites reasonably well. the pk model we developed explored the pk characteristics of cilostazol in korean male subjects, and may be useful for identifying optimal individual dosing regimens of cilostazol.",Pharmacokinetic modeling analysis of cilostazol and its active metabolites (OPC-13015 and OPC-13213) after multiple oral doses of cilostazol in healthy Korean volunteers.,cilostazol
[],29706129,"to investigate the midterm safety and effectiveness of cilostazol treatment in claudicant patients undergoing endovascular therapy.
the sufficient treatment of peripheral intervention by cilostazol (stop ic) study ( clinicaltrials.gov identifier nct00912756; university hospital medical information network identifier umin000002091) enrolled 200 patients (mean age 73 years; 131 men) treated for femoropopliteal disease from march 2009 to april 2011 at 13 cardiovascular centers in japan. the participants were randomized 1:1 to receive oral aspirin with or without cilostazol. of the 100 patients assigned to the 2 treatment groups, 7 patients in the cilostazol group and 2 patients in the no cilostazol group were withdrawn from the study without undergoing endovascular treatment, leaving 93 patients in the cilostazol group and 98 patients in the no cilostazol group for follow up analysis. the primary outcome measure was primary patency; secondary outcome measures were freedom from clinically driven target lesion revascularization (cd tlr) and overall survival. outcomes were analyzed on an intention to treat basis using the kaplan meier method; estimates were compared with the log rank test.
the median follow up was 38.1 months (interquartile range 25.1, 47.7). among the 93 subjects in the cilostazol group, 7 died and 26 withdrew from administration 1 year after the endovascular procedure. discontinuation of cilostazol was not a significant factor for restenosis. primary patency was significantly higher in the cilostazol group than in the no cilostazol group (69% vs 54%, p=0.026) at 3 years. the cilostazol group also had better 3 year freedom from cd tlr (78% vs 63%, p=0.014), although overall survival estimates did not differ significantly (p=0.95).
these results suggest that the safety and effectiveness of cilostazol treatment were sustained in patients with femoropopliteal disease undergoing endovascular treatment.",Sustained Effectiveness of Cilostazol After Endovascular Treatment of Femoropopliteal Lesions: Midterm Follow-up From the Sufficient Treatment of Peripheral Intervention by Cilostazol (STOP-IC) Study.,cilostazol
"['Animals', 'Blood Platelets', 'drug effects', 'Cilostazol', 'Collagen', 'pharmacology', 'Coronary Vessels', 'drug effects', 'Cyclic AMP', 'metabolism', 'Dose-Response Relationship, Drug', 'Heart Ventricles', 'drug effects', 'Humans', 'In Vitro Techniques', 'Male', 'Milrinone', 'pharmacology', 'Muscle, Smooth, Vascular', 'drug effects', 'Myocardial Contraction', 'drug effects', 'Perfusion', 'Platelet Aggregation Inhibitors', 'metabolism', 'pharmacology', 'Rabbits', 'Tetrazoles', 'metabolism', 'pharmacology', 'Vasodilator Agents', 'pharmacology']",10511123,"cilostazol is a potent cyclic nucleotide phosphodiesterase (pde) type 3 (pde3) inhibitor that was recently approved by the food and drug administration (fda) for the treatment of intermittent claudication. its efficacy is presumed to be due to its vasodilatory and platelet activation inhibitory activities. compared with those treated with placebo, patients treated with cilostazol showed a minimal increase in cardiac adverse events. because of its pde3 inhibitory activity, however, the possibility that cilostazol exerts positive cardiac inotropic effects is a safety concern. therefore we compared the effects of cilostazol with those of milrinone, a selective pde3 inhibitor, on intracellular cyclic adenosine monophosphate (camp) levels in platelets, cardiac ventricular myocytes, and coronary smooth muscle cells. we also compared the corresponding functional changes in these cells. cilostazol and milrinone both caused a concentration dependent increase in the camp level in rabbit and human platelets with similar potency. furthermore, cilostazol and milrinone were equally effective in inhibiting human platelet aggregation with a median inhibitory concentration (ic50) of 0.9 and 2 microm, respectively. in rabbit ventricular myocytes, however, cilostazol elevated camp levels to a significantly lesser extent (p < 0.05 vs. milrinone). by using isolated rabbit hearts with a langendorff preparation, we showed that milrinone is a very potent cardiotonic agent; it concentration dependently increased left ventricular developed pressure (lvdp) and contractility. cilostazol was less effective in increasing lvdp and contractility (p < 0.05 vs. milrinone), which is consistent with the cardiac camp levels. the cardiac effect of opc 13015, a metabolite of cilostazol with about sevenfold higher pde3 inhibition, was similar to cilostazol. whereas milrinone concentration dependently increased camp in rabbit coronary smooth muscle cells, cilostazol did not have such an effect. however, both compounds increased coronary flow equally in rabbit hearts. our results show that although cilostazol and milrinone both inhibit pde3, cilostazol preferentially acts on vascular elements (platelets and flow). this unique profile of cilostazol is consistent with its beneficial and safe clinical outcomes in patients with intermittent claudication.",Comparison of the effects of cilostazol and milrinone on intracellular cAMP levels and cellular function in platelets and cardiac cells.,cilostazol
"['Adult', 'Chromatography, High Pressure Liquid', 'Clofibric Acid', 'analogs & derivatives', 'pharmacokinetics', 'pharmacology', 'Cross-Over Studies', 'Double-Blind Method', 'Enzyme-Linked Immunosorbent Assay', 'Fenofibrate', 'pharmacokinetics', 'pharmacology', 'Fibric Acids', 'Half-Life', 'Humans', 'Hypolipidemic Agents', 'pharmacokinetics', 'pharmacology', 'Lipase', 'blood', 'Lipoprotein Lipase', 'blood', 'Liver', 'enzymology', 'Male', 'Nephelometry and Turbidimetry', 'Reference Values']",8831918,"the activities of lipoprotein lipase (lpl) and hepatic lipase (hl) were investigated after 23 days of ciprofibrate (100 mg or 200 mg) therapy or fenofibrate (200 mg) therapy. in a double blind, double placebo, cross over study, three groups of six healthy volunteers received either 100 mg ciprofibrate/day followed by 200 mg fenofibrate 'high bioavailability' (hb)/day, or vice versa (group a), 200 mg ciprofibrate hb/day followed by 200 mg fenofibrate hb/day, or vice versa (group b), or 100 mg ciprofibrate/day followed by 200 mg ciprofibrate/day, or vice versa (group c). fasting plasma lipid levels and safety parameters were evaluated before and after treatment. one hundred milligrams ciprofibrate/day therapy was found to be approximately as effective as 200 mg fenofibrate hb/day therapy in altering the lipid profile. the highest activation of lpl was obtained after treatment with 200 mg ciprofibrate/day. a modest, but statistically significant, increase in hl activity was found after 100 or 200 mg ciprofibrate treatment. investigation of the pharmacokinetics of ciprofibrate and fenofibric acid revealed a shorter time to reach peak plasma levels, but a longer elimination half life for the ciprofibrate preparations in comparison with fenofibrate. a dose of 200 mg ciprofibrate/day is more effective than 100 mg ciprofibrate/day at increasing lpl and hl activity; however, 200 mg ciprofibrate/day is also associated with a potential detrimental change in safety parameters. two hundred milligrams fenofibrate hb/day therapy may represent an alternative therapy to 100 mg ciprofibrate/day for hyperlipidaemic patients.","Pharmacodynamic activity of lipoprotein lipase and hepatic lipase, and pharmacokinetic parameters measured in normolipidaemic subjects receiving ciprofibrate (100 or 200 mg/day) or micronised fenofibrate (200 mg/day) therapy for 23 days.",ciprofibrate
"['Administration, Oral', 'Animals', 'Body Weight', 'drug effects', 'Clofibrate', 'analogs & derivatives', 'Clofibric Acid', 'analogs & derivatives', 'pharmacology', 'DNA', 'biosynthesis', 'Female', 'Fibric Acids', 'Hepatectomy', 'Hypolipidemic Agents', 'pharmacology', 'Liver', 'drug effects', 'metabolism', 'Organ Size', 'drug effects', 'Rats', 'Rats, Inbred Strains', 'Vitamin E', 'metabolism']",2389247,"the peroxisome proliferator ciprofibrate was examined for its ability to alter liver regrowth following partial hepatectomy in rats. ciprofibrate was fed to female sprague dawley rats at concentrations of 0, 0.01% and 0.025% in the diet for 2 weeks. all rats were then subjected to partial hepatectomy and were killed at 0, 12, 24, 36, 48, 72, and 168 h afterwards. the increase in liver weight after partial hepatectomy occurred at a similar rate in control and ciprofibrate fed rats, although liver weights were always higher in ciprofibrate fed rats. the marked increase in dna synthesis normally seen after partial hepatectomy, however, was partially inhibited in rats fed 0.025% ciprofibrate, as compared to control rats or rats fed 0.01% ciprofibrate. an increase in the ratio of protein to dna in the liver was observed in rats fed either level of ciprofibrate. the marked increase in total lipid content normally seen after partial hepatectomy was inhibited by ciprofibrate treatment. vitamin e levels were also reduced in ciprofibrate fed rats. the activity of the peroxisomal enzyme fatty acyl coa oxidase was increased in rats fed ciprofibrate at all time points, verifying the induction of peroxisomes by ciprofibrate. this study shows that the administration of 0.025% ciprofibrate before partial hepatectomy inhibits the peak of dna synthesis normally seen shortly after partial hepatectomy but does not affect the regrowth of the liver. the regrowth of the liver in rats fed 0.025% ciprofibrate may be caused by cellular hypertrophy, as evidenced by the enhanced protein content of the liver.",Effect of the peroxisome proliferator ciprofibrate on hepatic DNA synthesis and hepatic composition following partial hepatectomy in rats.,ciprofibrate
"['Clofibric Acid', 'analogs & derivatives', 'urine', 'Electrophoresis, Capillary', 'methods', 'Fibric Acids', 'Glucuronates', 'urine', 'Humans', 'Reproducibility of Results', 'Stereoisomerism']",10410925,"a method for achiral separation of the racemic hypolipidaemic agent ciprofibrate and its main metabolite ciprofibrate glucuronide by capillary electrophoresis (ce) was developed. the glucuronide was isolated from urine by chromatographic procedures and characterized by alkaline as well as enzymatic hydrolysis and mass spectrometric and nuclear magnetic resonance experiments. chiral discrimination of the ciprofibrate enantiomers and their diastereomeric glucuronides by ce was achieved by the use of gamma cyclodextrin as buffer additive. the fractionated crystallization of ciprofibrate yielded the r (+) enantiomer as less soluble diastereomeric salt with (+) 1 phenylethylamine. this allowed the identification of the enantiomers of ciprofibrate as well as the diastereomeric glucuronides of ciprofibrate by ce. in a study with three volunteers inter  and intra individual differences of ratios of both ciprofibrate glucuronides in urine were observed. after oral administration of a single dose of the racemate the s ciprofibrate glucuronide was mainly excreted in the first time intervals, in the last time intervals the r glucuronide dominated.",Achiral and chiral determination of ciprofibrate and its glucuronide in human urine by capillary electrophoresis.,ciprofibrate
"['Animals', 'Cholesterol', 'blood', 'Hypercholesterolemia', 'drug therapy', 'Hypolipidemic Agents', 'metabolism', 'pharmacology', 'Male', 'Rats', 'Time Factors', 'Tissue Distribution', 'Triglycerides', 'blood']",486226,"the blood levels, distribution and duration of action of ciprofibrate, an orally active hypolipidemic agent, was investigated in rats. serum concentrations of 30 micrograms of ciprofibrate/ml are associated with significant reductions in both serum cholesterol and triglycerides in rats on a hyperlipidemic diet. increasing the plasma concentrations of ciprofibrate to 69 micrograms/ml resulted in only a modest incremental reduction in serum lipids. the distribution of radioactivity from [14c]ciprofibrate within rat tissues was not affected by prior treatment for 14 days with ciprofibrate at either 1.5 or 3.0 mg/kg/day. varying the dosage regimen of ciprofibrate at 30 mg/kg, with medication at intervals of one, 2 or 3 days resulted in similar peak plasma levels of about 300 micrograms/ml, 4 h after medication. the half life of ciprofibrate, during the terminal disposition phase, was about 82 h. levels of serum cholesterol remained suppressed up to 3 days after medication with ciprofibrate was discontinued; triglyceride levels returned to control values more slowly.","Blood levels, tissue distribution and the duration of action in rats of ciprofibrate, a new hypolipidemic agent.",ciprofibrate
